,Event Time,Document,Tab,User,Description
1,2021-07-13 16:04:05,BT_ID-03,N/A,rdlcad2021@gmail.com,Close document
2,2021-07-13 16:04:05,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Tab Part Studio 1 of type PARTSTUDIO closed by CAD_Study
3,2021-07-13 16:03:44,BT_ID-03,Changes.pdf,rdlcad2021@gmail.com,Tab Changes.pdf of type BLOB closed by CAD_Study
4,2021-07-13 16:03:44,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Tab Part Studio 1 of type PARTSTUDIO opened by CAD_Study
5,2021-07-13 16:03:30,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Update Part Metadata
6,2021-07-13 16:03:29,BT_ID-03,Changes.pdf,rdlcad2021@gmail.com,Tab Changes.pdf of type BLOB opened by CAD_Study
7,2021-07-13 16:03:29,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Tab Part Studio 1 of type PARTSTUDIO closed by CAD_Study
8,2021-07-13 16:03:29,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Update Part Metadata
9,2021-07-13 16:03:25,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Commit add or edit of part studio feature
10,2021-07-13 16:03:25,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Add or modify a sketch
11,2021-07-13 16:03:25,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Edit : Angled Tab
12,2021-07-13 16:03:24,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Tab Part Studio 1 of type PARTSTUDIO opened by CAD_Study
13,2021-07-13 16:03:24,BT_ID-03,Changes.pdf,rdlcad2021@gmail.com,Tab Changes.pdf of type BLOB closed by CAD_Study
14,2021-07-13 16:03:20,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Update Part Metadata
15,2021-07-13 16:03:20,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Update Part Metadata
16,2021-07-13 16:03:20,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Tab Part Studio 1 of type PARTSTUDIO closed by CAD_Study
17,2021-07-13 16:03:20,BT_ID-03,Changes.pdf,rdlcad2021@gmail.com,Tab Changes.pdf of type BLOB opened by CAD_Study
18,2021-07-13 16:03:12,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Start edit of part studio feature
19,2021-07-13 16:03:08,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Add or modify a sketch
20,2021-07-13 16:03:08,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Edit : Angled Tab
21,2021-07-13 16:03:08,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Commit add or edit of part studio feature
22,2021-07-13 16:03:01,BT_ID-03,Part Studio 1,rdlcad2021@gmail.com,Tab Part Studio 1 of type PARTSTUDIO opened by CAD_Study
23,2021-07-13 16:03:01,BT_ID-03,Changes.pdf,rdlcad2021@gmail.com,Tab Changes.pdf of type BLOB closed by CAD_Study
24,2021-07-13 16:02:58,BT_ID-03,Changes.pdf,rdlcad2021@gmail.com,Tab Changes.pdf of type BLOB opened by CAD_Study
